TF, Gene	Bulk	MicroArray
("Irf4", "Gnpda1")	false	false
("Stat3", "Gnpda1")	false	false
("Rorc", "Gnptab")	false	false
("Irf4", "Got1")	false	false
("Fosl2", "Gpatch4")	false	false
("Rorc", "Gpr146")	false	false
("Fosl2", "Gpr146")	false	false
("Hif1a", "Gpr146")	false	false
("Batf", "Gpr65")	true	true
("Irf4", "Gpr65")	false	false
("Stat3", "Gpr65")	true	true
("Irf4", "Gpsm2")	false	false
("Stat3", "Gpsm2")	false	false
("Batf", "Grina")	true	true
("Irf4", "Grina")	false	false
("Stat3", "Grina")	false	false
("Fosl2", "Grina")	false	false
("Etv6", "Gripap1")	false	false
("Irf4", "Grn")	false	false
("Batf", "Gsn")	true	true
("Irf4", "Gsn")	false	false
("Irf4", "Gypc")	false	false
("Stat3", "Gypc")	true	true
("Rorc", "Gypc")	false	false
("Fosl2", "Gypc")	false	false
("Rorc", "Gzmb")	false	false
("Irf4", "H1f0")	false	false
("Rorc", "H1f0")	false	false
("Hif1a", "H2-Ab1")	true	true
("Hif1a", "Helb")	true	false
("Batf", "Hemk1")	false	false
("Irf4", "Hemk1")	false	false
("Stat3", "Hemk1")	true	true
("Fosl2", "Hemk1")	false	false
("Hif1a", "Hemk1")	true	true
("Hif1a", "Hexb")	true	true
("Batf", "Hif1a")	true	true
("Irf4", "Hif1a")	false	false
("Stat3", "Hif1a")	true	true
("Rorc", "Hif1a")	false	false
("Fosl2", "Hif1a")	false	false
("Hif1a", "Higd1a")	true	true
("Irf4", "Hk1")	false	false
("Hif1a", "Hk1")	true	true
("Irf4", "Hk2")	false	false
("Stat3", "Hk2")	true	true
("Hif1a", "Hk2")	true	true
("Hif1a", "Hmgcl")	true	true
("Irf4", "Hook2")	false	false
("Stat3", "Hook2")	true	true
("Batf", "Hspa4l")	true	false
("Fosl2", "Hspa4l")	false	false
("Batf", "Hvcn1")	true	true
("Irf4", "Hvcn1")	false	false
("Rorc", "Hvcn1")	true	false
("Fosl2", "Hvcn1")	false	false
("Stat3", "Icam1")	true	true
("Etv6", "Icam1")	false	false
("Irf4", "Icam2")	false	false
("Batf", "Id2")	true	false
("Irf4", "Id2")	false	false
("Stat3", "Id2")	false	false
("Hif1a", "Id2")	true	false
("Irf4", "Ier3")	false	false
("Stat3", "Ier3")	false	false
("Fosl2", "Ier3")	false	false
("Hif1a", "Ier3")	true	true
("Batf", "Ifi203")	false	false
("Irf4", "Ifi203")	true	true
("Stat3", "Ifi203")	false	false
("Rorc", "Ifi203")	false	false
("Fosl2", "Ifi203")	true	true
("Fosl2", "Ifih1")	false	false
("Fosl2", "Ifit1")	false	false
("Fosl2", "Ifitm3")	false	false
("Batf", "Ift57")	false	false
("Irf4", "Ift57")	false	false
("Batf", "Igf2bp3")	true	true
("Fosl2", "Igf2bp3")	false	false
("Batf", "Igf2r")	true	false
("Irf4", "Igf2r")	false	true
("Batf", "Igfbp4")	false	true
("Stat3", "Igfbp4")	true	true
("Etv6", "Igfbp4")	false	false
("Batf", "Igfbp7")	true	true
("Irf4", "Igfbp7")	false	false
("Rorc", "Igfbp7")	false	false
("Fosl2", "Igfbp7")	false	false
("Batf", "Igtp")	false	false
("Stat3", "Igtp")	false	false
("Fosl2", "Igtp")	true	true
("Fosl2", "Ikbke")	true	false
("Batf", "Ikzf4")	false	true
("Hif1a", "Ikzf4")	false	false
("Batf", "Il10")	true	true
("Irf4", "Il10")	false	false
("Stat3", "Il10")	false	false
("Rorc", "Il10")	false	false
("Etv6", "Il10")	false	false
("Batf", "Il12rb1")	false	false
("Irf4", "Il12rb1")	true	true
("Stat3", "Il12rb1")	true	true
("Rorc", "Il12rb1")	false	false
("Fosl2", "Il12rb1")	false	false
("Irf4", "Il12rb2")	false	false
("Rorc", "Il12rb2")	false	false
("Fosl2", "Il12rb2")	false	false
("Hif1a", "Il12rb2")	true	true
("Stat3", "Il15ra")	false	false
("Batf", "Il17a")	true	false
("Irf4", "Il17a")	false	false
("Stat3", "Il17a")	true	true
("Rorc", "Il17a")	true	true
("Fosl2", "Il17a")	false	false
("Hif1a", "Il17a")	false	false
("Etv6", "Il17a")	false	false
("Irf4", "Il18r1")	false	false
("Fosl2", "Il18r1")	false	false
("Batf", "Il1r1")	true	true
("Stat3", "Il1r1")	true	true
("Rorc", "Il1r1")	true	true
("Fosl2", "Il1r1")	false	false
("Batf", "Il1rn")	false	true
("Rorc", "Il1rn")	false	false
("Batf", "Il21")	false	false
("Irf4", "Il21")	false	false
("Stat3", "Il21")	true	true
("Fosl2", "Il21")	false	false
("Batf", "Il24")	true	false
("Irf4", "Il24")	false	false
("Stat3", "Il24")	true	true
("Rorc", "Il24")	false	false
("Fosl2", "Il24")	false	false
("Stat3", "Il2ra")	true	true
("Fosl2", "Il2ra")	false	false
("Hif1a", "Il2ra")	false	false
("Irf4", "Il2rb")	false	false
("Hif1a", "Il2rb")	false	false
("Stat3", "Il4ra")	false	true
("Rorc", "Il4ra")	false	false
("Fosl2", "Il4ra")	true	true
("Hif1a", "Il4ra")	false	false
("Batf", "Il7r")	true	true
("Irf4", "Il7r")	false	false
("Stat3", "Il7r")	false	false
("Rorc", "Il7r")	false	false
("Fosl2", "Il7r")	true	true
("Batf", "Il9")	false	false
("Irf4", "Il9")	false	false
("Stat3", "Il9")	false	false
("Rorc", "Il9")	false	false
("Batf", "Impa2")	false	false
("Hif1a", "Impa2")	true	true
("Hif1a", "Impdh1")	false	false
("Hif1a", "Ing2")	true	true
("Batf", "Inhba")	false	false
("Batf", "Inpp5a")	false	false
("Rorc", "Inpp5b")	true	false
("Batf", "Iqgap2")	false	false
("Rorc", "Iqgap2")	false	false
("Fosl2", "Iqgap2")	false	false
("Irf4", "Irf4")	false	false
("Stat3", "Irf4")	true	true
("Fosl2", "Irf4")	false	false
("Irf4", "Isg20")	true	true
("Batf", "Itga3")	true	false
("Irf4", "Itga3")	false	false
("Stat3", "Itga3")	false	false
("Rorc", "Itga3")	true	true
("Hif1a", "Itga3")	true	true
("Fosl2", "Itgb1")	false	false
("Rorc", "Itgb7")	false	false
("Fosl2", "Itgb7")	true	false
("Irf4", "Itpk1")	false	false
("Batf", "Itpr1")	true	true
("Irf4", "Itpr1")	false	false
("Fosl2", "Itpr1")	true	true
("Fosl2", "Itpr3")	false	false
("Batf", "Jak2")	true	true
("Stat3", "Jak2")	false	true
("Stat3", "Jak3")	true	true
("Hif1a", "Jak3")	true	true
("Hif1a", "Jmjd6")	true	true
("Batf", "Kcna3")	true	true
("Irf4", "Kcna3")	false	false
("Stat3", "Kcna3")	false	false
("Rorc", "Kcna3")	true	false
("Fosl2", "Kcna3")	false	false
